,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,COD,Necesidad Operacional,Descripción,,COD,Dominio ITS,Descripción del Ámbito,,Cod,Área de Servicio (AS),Descripción,,Cod,Servicios Estratégicos ITS,Categoría de Servicio ITS,,Cod,Sigla (Estándar Internacional ITS/ISO),Subsistema ITS,Descripción Técnica y Operativa (Alcance Exhaustivo),,COD,Nombre de función,Descripción de la función,,COD,Sigla (Estándar Internacional),Nombre del Componente,Capacidad Operativa Generada
3,,1,Supervisión de la Estabilidad e Integridad Estructural,Se identifica la necesidad de monitorear de forma constante las condiciones físicas de los activos de infraestructura y las variaciones geomecánicas del terreno. Esta condición permite al sistema detectar tempranamente inestabilidades que podrían comprometer la seguridad o la continuidad del tránsito.,,DOM-01,Gestión de Tráfico,"Planificación, control y optimización del flujo vehicular y la capacidad vial.",,AS-01,Gestión de incidentes y seguridad vial,"Orquesta la detección automática de incidentes (DAI) y la respuesta coordinada ante eventos disruptivos. Su función es minimizar los tiempos de atención mediante el despacho de servicios de auxilio y la implementación de protocolos de protección activa que mitiguen el riesgo de colisiones secundarias, garantizando la preservación de la vida en el corredor.",,SE-ITS-1,Servicio de suministro de información de tráfico,Servicio ITS Prioritario (PMITS),,SUB-01,TMS (Traffic Management System),Gestión de Tráfico,"Plataforma central para el monitoreo de flujos, niveles de servicio (LOS) y ejecución de planes de tráfico dinámicos.",,F-01,Gestión de datos adicionales,"Recopila, actualiza y almacena información adicional, como información local, información relacionada con la vida, etc.",,CC-01,CCTV,Vigilancia por Video,Supervisión Visual Continua: Capacidad de observar y verificar el estado real de la infraestructura en tiempo real.
4,,2,Gestión de la Resiliencia Hídrica y Control de Niveles Críticos,"Es imperativo gestionar la problemática de las interferencias hídricas en sectores vulnerables. El sistema debe ser capaz de identificar niveles freáticos críticos y activar, de manera automatizada y remota, los mecanismos de evacuación de fluidos necesarios para asegurar el drenaje de la calzada.",,DOM-02,Gestión de Emergencias,"Coordinación de respuestas ante incidentes, siniestros y desastres en el corredor.",,AS-02,Gestión de servicios de información,"Administra el ciclo de vida del dato estratégico, desde su procesamiento en el CCO hasta su difusión omnicanal. Habilita modelos de Data as a Service (DaaS) y proporciona a los usuarios información en tiempo real sobre tiempos de viaje y estados de la vía, facilitando la toma de decisiones informadas antes y durante el trayecto.",,SE-ITS-2,Servicio de pago electrónico vehicular de la tasa de peajes,Servicio ITS Prioritario (PMITS),,SUB-02,TIS (Traveler Information System),Suministro de Información,Difusión de contenidos hacia PMV y canales digitales con soporte multimodal (Peatones/Ciclistas).,,F-02,Gestión de datos de tráfico integrado,La información del tráfico por carretera y la información del transporte público se gestionan de manera integrada.,,CC-02,AID,Detección de Incidentes,Identificación Proactiva de Peligros: Capacidad de alertar automáticamente sobre eventos disruptivos sin depender del ojo humano.
5,,3,Regulación Conductual y Mitigación de Riesgos Operativos,"Para garantizar una correcta operación, el servicio ITS debe abordar la problemática del incumplimiento de los parámetros de velocidad. Se requiere una arquitectura que permita la retroalimentación dinámica al usuario para inducir comportamientos de conducción seguros con funciones de mensajería pedagógica.",,DOM-03,Información al Viajero,Suministro de datos para la toma de decisiones antes y durante el viaje.,,AS-03,Gestión de la operación y el tráfico,"Ejecuta el control dinámico de flujos vehiculares para optimizar los Niveles de Servicio (LOS). Integra la analítica de velocidades, conteo de tráfico y gestión de carriles para prevenir la saturación en nodos críticos, asegurando una movilidad fluida y eficiente mediante la señalización variable y la gestión táctica de la demanda.",,SE-ITS-3,Servicio de suministro de información de transporte público,Servicio ITS Prioritario (PMITS),,SUB-03,EMS (Emergency Management System),Gestión de Emergencias,Módulo de gestión de incidentes (IMS) que automatiza protocolos de respuesta y coordina el despacho de auxilio.,,F-03,Gestión de datos de la red vial.,El diseño geométrico de las carreteras y los datos de las instalaciones se actualizan y gestionan.,,CC-03,DMS / VMS,Mensajería Variable,Difusión Masiva de Información: Capacidad de comunicar mensajes estratégicos y alertas directamente al conductor en vía.
6,,4,Protección y Gestión de la Coexistencia Multimodal,"El despliegue del servicio debe garantizar la seguridad en zonas de interfaz urbana donde interactúan diferentes modos de transporte. La necesidad operacional se centra en la detección y señalización prioritaria de usuarios no motorizados, integrando la visibilidad de estos flujos en los Servicios Estratégicos de monitoreo del centro.",,DOM-04,Seguridad y Cumplimiento,"Vigilancia normativa, control de infracciones y protección de la vida.",,AS-04,Servicios de transporte público y multimodal,"Facilita la integración tecnológica con sistemas de transporte masivo e interurbano que operan en el corredor. Gestiona la información de rutas, paraderos inteligentes y la sincronización con nodos de transferencia modal, promoviendo el uso del transporte público y mejorando la conectividad regional para el pasajero.",,SE-ITS-4,Servicio de gestión de siniestros viales inesperados,Servicio ITS Prioritario (PMITS),,SUB-04,VMS (Video Management System),Gestión de Video,"Administración de flujos de video, grabación, procesamiento de analítica DAI y visualización en Video Wall.",,F-04,Detección de vehículos,Se detecta el estado de los vehículos.,,CC-04,ECS / SOS,Llamada de Emergencia,Auxilio Inmediato al Usuario: Capacidad de establecer un canal de voz crítico para asistencia en situaciones de crisis.
7,,5,Continuidad Operativa ante Interferencias de Servicios Externos,"Se requiere supervisar la disponibilidad y el estado de las redes de servicios públicos e infraestructura de soporte vinculadas al corredor. El objetivo es identificar fallas externas que puedan impactar la prestación del servicio vial, asegurando que la arquitectura mantenga la interoperabilidad con los actores estratégicos del entorno.",,DOM-05,Recaudo y Pagos,Gestión de transacciones financieras por el uso de la infraestructura.,,AS-05,Gestión de la demanda y electromovilidad,"Administra la infraestructura de soporte para la transición energética, incluyendo estaciones de carga rápida (EVCS). Implementa estrategias de gestión de demanda basadas en la priorización de vehículos de bajas emisiones y el monitoreo de la disponibilidad energética del corredor para incentivar una movilidad sostenible.",,SE-ITS-5,Servicio de control de infracción de exceso de velocidad,Servicio ITS Prioritario (PMITS),,SUB-05,EFC (Electronic Fee Collection),Recaudo Electrónico,"Back-office encargado del peaje interoperable (IPyG), validación de TAGs y gestión de transacciones.",,F-05,Procesamiento de datos de detección de vehículos,"Los datos recopilados de los detectores individuales se procesan, agregan y convierten a los datos de la sección de la carretera.",,CC-05,VDS / TDS,Contadores de Tráfico,Caracterización Dinámica del Flujo: Capacidad de cuantificar y clasificar el volumen vehicular para decisiones operativas.
8,,6,Detección Proactiva y Gestión Integral de Anomalías,"La operación demanda la identificación automática y en tiempo real de eventos que afecten el flujo vehicular, como objetos caídos o vehículos detenidos. ",,DOM-06,Gestión de Infraestructura,Monitoreo de la salud de activos físicos y condiciones ambientales.,,AS-06,Gestión de carga y vehículos comerciales,"Especializada en el monitoreo cinemático y volumétrico del transporte pesado. Integra sistemas de pesaje dinámico (WIM) para proteger la integridad estructural de pavimentos y puentes, optimizando la logística nacional mediante la trazabilidad de vehículos comerciales y la prevención de sobrecargas.",,SE-ITS-6,Servicio de apoyo a la administración de vehículos de carga,Servicio ITS Prioritario (PMITS),,SUB-06,AMS (Asset Management System),Gestión de Infraestructura,"(Geotecnia/Urbanismo): Control de actuadores (bombas) y telemetría de salud de taludes, puentes y pavimentos.",,F-06,Gestión de datos de identificación de vehículos,Se identifican los vehículos de la sonda y se gestiona la información.,,CC-06,ESS / RWIS,Sensores Ambientales,Monitoreo de Condiciones Climáticas: Capacidad de medir variables del entorno que afectan la seguridad y la visibilidad.
9,,7,Integridad y Sincronización Transaccional de la Información,"Existe la necesidad estratégica de garantizar que los flujos de datos fluyan sin interrupciones entre todas las capas de la arquitectura. Se debe asegurar la trazabilidad de cada evento, eliminando silos de información mediante una orquestación robusta que garantice la fidelidad de los datos operativos.",,,,,,AS-07,Servicios de recaudo y pago de transporte,"Gestiona el ecosistema de cobro electrónico de peajes (ETC) bajo estándares de interoperabilidad nacional. Asegura la integridad transaccional de las cuentas de usuario, la validación de TAGs en tiempo real y la compensación financiera entre operadores, garantizando un flujo continuo y auditable de los ingresos de la concesión.",,SE-ITS-7,Monitoreo ambiental y meteorológico,Servicio ITS Prioritario (PMITS),,SUB-07,CVO (Commercial Vehicle Operations),Gestión de Carga,"Sistema de control de pesos y dimensiones que orquesta WIM, Básculas Estáticas y Preselección.",,F-07,Reconocimiento de la ubicación de vehículos,Se recopilan datos para el reconocimiento de la ubicación del vehículo.,,CC-07,WIM,Pesaje Dinámico,Control de Carga en Movimiento: Capacidad de monitorear pesos vehiculares por eje sin interrumpir la fluidez del tránsito.
